Date,DHT11#1 Humidity,DHT11#1 Temperature,DHT11#2 Humidity,DHT11#2 Temperature,DHT22#3 Humidity,DHT22#3 Temperature
2016-08-23T23:27:16.392-0600,20,21,17,21,44.5,24.6
2016-08-23T23:27:22.193-0600,20,21,17,21,44.8,24.6
2016-08-23T23:27:27.994-0600,20,21,17,21,44.8,24.6
2016-08-23T23:27:33.804-0600,20,21,17,21,44.8,24.6
2016-08-23T23:27:39.610-0600,20,21,17,21,44,24.6
2016-08-23T23:27:45.415-0600,20,21,17,21,45,24.6
2016-08-23T23:27:51.216-0600,20,21,17,21,45.1,24.6
2016-08-23T23:27:57.017-0600,20,21,17,21,44.8,24.6
2016-08-23T23:28:02.819-0600,20,21,17,21,44.7,24.6
2016-08-23T23:28:08.620-0600,20,21,17,21,44.7,24.6
2016-08-23T23:28:14.421-0600,20,21,17,21,44.7,24.6
2016-08-23T23:28:20.222-0600,20,21,17,21,44.7,24.6
2016-08-23T23:28:26.023-0600,20,21,17,21,44.4,24.6
2016-08-23T23:28:31.833-0600,20,21,17,21,44.3,24.6
2016-08-23T23:28:37.639-0600,20,21,17,21,44.3,24.6
2016-08-23T23:28:43.440-0600,20,21,17,21,44.4,24.6
2016-08-23T23:28:49.241-0600,20,21,17,21,44.4,24.6
2016-08-23T23:28:55.042-0600,20,21,17,21,44.5,24.6
2016-08-23T23:29:00.843-0600,20,21,17,21,44.5,24.6
2016-08-23T23:29:06.644-0600,20,21,17,21,44.6,24.6
2016-08-23T23:29:12.445-0600,20,21,17,21,44.7,24.6
2016-08-23T23:29:18.246-0600,20,21,17,21,44.7,24.6
2016-08-23T23:29:24.052-0600,20,21,17,21,44.8,24.6
